"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"29",1802,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,1.428,0.056
"30",1803,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1.42,0.055
"31",1804,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228,1.412,0.054
"32",1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226,1.404,0.053
"33",1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224,1.396,0.052
"34",1807,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222,1.388,0.051
"35",1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1.38,0.05
"36",1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220714285714286,1.38357142857143,0.0507142857142857
"37",1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221428571428571,1.38714285714286,0.0514285714285714
"38",1811,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222142857142857,1.39071428571429,0.0521428571428571
"39",1812,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222857142857143,1.39428571428571,0.0528571428571429
"40",1813,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223571428571429,1.39785714285714,0.0535714285714286
"41",1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224285714285714,1.40142857142857,0.0542857142857143
"42",1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,1.405,0.055
"43",1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225714285714286,1.40857142857143,0.0557142857142857
"44",1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226428571428571,1.41214285714286,0.0564285714285714
"45",1818,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227142857142857,1.41571428571429,0.0571428571428571
"46",1819,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227857142857143,1.41928571428571,0.0578571428571429
"47",1820,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228571428571429,1.42285714285714,0.0585714285714286
"48",1821,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229285714285714,1.42642857142857,0.0592857142857143
"49",1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1.43,0.06
"50",1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231666666666667,1.435,0.0594444444444444
"51",1824,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,1.44,0.0588888888888889
"52",1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,1.445,0.0583333333333333
"53",1826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236666666666667,1.45,0.0577777777777778
"54",1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238333333333333,1.455,0.0572222222222222
"55",1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1.46,0.0566666666666667
"56",1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241666666666667,1.465,0.0561111111111111
"57",1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243333333333333,1.47,0.0555555555555556
"58",1831,9.65,6.63,76.9,36,100,63.2,31.8,370,1.09,0.245,1.475,0.055
"59",1832,9.86,13.244,83.32,42.16,87.74,128.56,25.668,296.376,1.174,0.246666666666667,1.48,0.0544444444444444
"60",1833,10.07,19.858,89.74,48.32,75.48,193.92,19.536,222.752,1.258,0.248333333333333,1.485,0.0538888888888889
"61",1834,10.28,26.472,96.16,54.48,63.22,259.28,13.404,149.128,1.342,0.25,1.49,0.0533333333333333
"62",1835,10.49,33.086,102.58,60.64,50.96,324.64,7.272,75.504,1.426,0.251666666666667,1.495,0.0527777777777778
"63",1836,10.7,39.7,109,66.8,38.7,390,1.14,1.88,1.51,0.253333333333333,1.5,0.0522222222222222
"64",1837,11.025,31.8725,101.675,59.475,55.025,308.725,9.305,96.66,1.41,0.255,1.505,0.0516666666666667
"65",1838,11.35,24.045,94.35,52.15,71.35,227.45,17.47,191.44,1.31,0.256666666666667,1.51,0.0511111111111111
